setor
BENS INDUSTRIAIS
CONSUMO CICLICO
CONSUMO NAO CICLICO
FINANCEIRO
MATERIAIS BASICOS
PETROLEO GAS E BIOCOMBUSTIVEIS
SAUDE
TECNOLOGIA DA INFORMACAO
TELECOMUNICACOES
UTILIDADE PUBLICA
