setor
BENS INDUSTRIAIS
CONSUMO CÍCLICO
CONSUMO NÃO CÍCLICO
FINANCEIRO
MATERIAIS BÁSICOS
"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS"
SAÚDE
TECNOLOGIA DA INFORMAÇÃO
TELECOMUNICAÇÕES
UTILIDADE PÚBLICA
